Enc(micros)	Dec(micros)
Enc: 98751	Dec: 63630
Enc: 63744	Dec: 63617
Enc: 63719	Dec: 63622
Enc: 63731	Dec: 63725
Enc: 63860	Dec: 63656
Enc: 63716	Dec: 63614
Enc: 63830	Dec: 63601
Enc: 63699	Dec: 63718
Enc: 63768	Dec: 63608
Enc: 63743	Dec: 63606
Enc: 63736	Dec: 63607
Enc: 63715	Dec: 63961
Enc: 63743	Dec: 63837
Enc: 63769	Dec: 63694
Enc: 63904	Dec: 63616
Enc: 63719	Dec: 63715
Enc: 63898	Dec: 63808
Enc: 63725	Dec: 63720
Enc: 63830	Dec: 63635
Enc: 63729	Dec: 63721
Enc: 63713	Dec: 63735
Enc: 63799	Dec: 63697
Enc: 63724	Dec: 63829
Enc: 63729	Dec: 63991
Enc: 63716	Dec: 63618
Enc: 63694	Dec: 63727
Enc: 63720	Dec: 63616
Enc: 63695	Dec: 63724
Enc: 63723	Dec: 63744
Enc: 63955	Dec: 63961
Enc: 63744	Dec: 63708
Enc: 63871	Dec: 63726
Enc: 63719	Dec: 63600
Enc: 63801	Dec: 63722
Enc: 63871	Dec: 63684
Enc: 63838	Dec: 63625
Enc: 63739	Dec: 63741
Enc: 63698	Dec: 63652
Enc: 63724	Dec: 63738
Enc: 63761	Dec: 63624
Enc: 63713	Dec: 63734
Enc: 63735	Dec: 63618
Enc: 63862	Dec: 63618
Enc: 63701	Dec: 63719
Enc: 63740	Dec: 63646
Enc: 63883	Dec: 63608
Enc: 63690	Dec: 63731
Enc: 63729	Dec: 64056
Enc: 63728	Dec: 63696
Enc: 64027	Dec: 63701
Enc: 63856	Dec: 63613
Enc: 63772	Dec: 63700
Enc: 63741	Dec: 63672
Enc: 63736	Dec: 63685
Enc: 63866	Dec: 63730
Enc: 63821	Dec: 63695
Enc: 63719	Dec: 63710
Enc: 63741	Dec: 63692
Enc: 63721	Dec: 63702
Enc: 63757	Dec: 63925
Enc: 63734	Dec: 63619
Enc: 63853	Dec: 63736
Enc: 63852	Dec: 63737
Enc: 63849	Dec: 63619
Enc: 63863	Dec: 63735
Enc: 63859	Dec: 63605
Enc: 63674	Dec: 63617
Enc: 63735	Dec: 63618
Enc: 63701	Dec: 63918
Enc: 63866	Dec: 63625
Enc: 63853	Dec: 63699
Enc: 63686	Dec: 63730
Enc: 63883	Dec: 63739
Enc: 63690	Dec: 63613
Enc: 63725	Dec: 63621
Enc: 63710	Dec: 63727
Enc: 63685	Dec: 63730
Enc: 63722	Dec: 63607
Enc: 63718	Dec: 63752
Enc: 63730	Dec: 63603
Enc: 63859	Dec: 63845
Enc: 63994	Dec: 63710
Enc: 63907	Dec: 63608
Enc: 63692	Dec: 64024
Enc: 63739	Dec: 63686
Enc: 63759	Dec: 63684
Enc: 63665	Dec: 63678
Enc: 63722	Dec: 63608
Enc: 63773	Dec: 63714
Enc: 63738	Dec: 63827
Enc: 63709	Dec: 63817
Enc: 63773	Dec: 63608
Enc: 63843	Dec: 63712
Enc: 63705	Dec: 63731
Enc: 63896	Dec: 63644
Enc: 63844	Dec: 63993
Enc: 63806	Dec: 63614
Enc: 63879	Dec: 63730
Enc: 63701	Dec: 63727
Enc: 63680	Dec: 63701
